,Anonymised Labels ,Author,Column Name,Column Type,Description,File Type,Image Dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of views,Size,Summary,Title,Updated,Url
0,,City of New York,,,Demographic statistics broken down by zip code,CSV,,"[area, boundary, code, community, demographic, demography, development, district, lifelong-learning, statistic, youth, zip, zip-code]",No license information was provided.,,,1555,1555,,,Demographic Statistics By Zip Code,2017-12-27,https://catalog.data.gov/dataset/demographic-statistics-by-zip-code-acfc9
1,,Department of Education,,,College Scorecards make it easier for students to search for a college that is a good fit for them. They can use the College Scorecard to find out more about a college's affordability and value so they can make more informed decisions about which college to attend.,HTML,,"[college, college-affordability, college-completion, debt, education, enrollment-size, location, post-college-earnings, programs-or-majors-..., repayment, scorecard, student-tools]",Creative Commons CCZero,,,1376,1376,,,College Scorecard,2017-09-28,https://catalog.data.gov/dataset/college-scorecard
2,,Department of the Treasury,,,This study provides detailed tabulations of individual income tax return data at the state and ZIP code level.,HTML,,"[form-1040, income-tax, irs, soi, state, statistics-of-income, zip-code]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,1242,1242,,,ZIP Code Data,2014-09-19,https://catalog.data.gov/dataset/zip-code-data
3,,U.S. Department of Health & Human Services,,,CDC's Division of Population Health provides cross-cutting set of 124 indicators that were developed by consensus and that allows states and territories and large metropolitan areas to uniformly define collect and report chronic disease data that are important to public health practice and available for states territories and large metropolitan areas. In addition to providing access to state-specific indicator data the CDI web site serves as a gateway to additional information and data resources.,CSV,,"[alcohol, arthritis, asthma, cancer, cardiovascular-disease, cdi, chronic-disease-ind..., chronic-kidney-disease, chronic-obstructive..., diabetes, disability, immunization, mental-health, nutrition-physical-..., older-adults, oral-health, overarching-conditions, public-health, reproductive-health, tobacco]",See this page for license information.,,,1199,1199,,,U.S. Chronic Disease Indicators (CDI),2018-02-17,https://catalog.data.gov/dataset/u-s-chronic-disease-indicators-cdi-e50c9
4,,Department of Homeland Security,,,USCIS provide a way for the public who applied for U.S. citizenship to check the status of their application online. To view the status of a case the application enter the corresponding application receipt. The 13-character application receipt number can be found on the application notices they have received from the USCIS.,HTML,,"[acquire, aid, assessment, association, attain, benefit, calendar, case-step, communication, connection, consultation, correlation, correspondence, earn, individual, inspection, interview, investigation, meeting, messages, person, schedule]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,1183,1183,,,USCIS My Case Status,2015-03-13,https://catalog.data.gov/dataset/uscis-my-case-status
5,,Consumer Financial Protection Bureau,,,These are complaints we’ve received about financial products and services.,CSV,,"[bank-account, bank-service, complaint, consumer, credit-card, credit-report, debt-collection, finance, loan, money-transfer, mortgage, student-loan]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,1136,1136,,,Consumer Complaint Database,2013-11-06,https://catalog.data.gov/dataset/consumer-complaint-database
6,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,Hourly Precipitation Data (HPD) is digital data set DSI-3240 archived at the National Climatic Data Center (NCDC). The primary source of data for this file is approximately 5500 US National Weather Service (NWS) Federal Aviation Administration (FAA) and cooperative observer stations in the United States of America Puerto Rico the US Virgin Islands and various Pacific Islands. The earliest data dates vary considerably by state and region Maine Pennsylvania and Texas have data since 1900. The western Pacific region that includes Guam American Samoa Marshall Islands Micronesia and Palau have data since 1978. Other states and regions have earliest dates between those extremes. The latest data in all states and regions is from the present day. The major parameter in DSI-3240 is precipitation amounts which are measurements of hourly or daily precipitation accumulation. Accumulation was for longer periods of time if for any reason the rain gauge was out of service or no observer was present. DSI 3240_01 contains data grouped by state; DSI 3240_02 contains data grouped by year.,HTML,,"[atmosphere, guam, united states of am..., pacific ocean, north america, doc/noaa/nesdis/ncei, hawaiian islands, puerto rico, continent, earth science, station height, western pacific ocean, vertical location, doc/noaa/nesdis/ncdc, altitude, precipitation rate, snow, micronesia, land surface, precipitation amount, caribbean sea, virgin islands, polar, national centers fo..., nesdis, noaa, u.s. department of ..., liquid precipitation, national climatic d..., nesdis, noaa, u.s. department of ..., north atlantic ocean, mid-latitude, rain, central pacific ocean, palau, geographic region, precipitation, atlantic ocean, equatorial, american samoa, ocean, solid precipitation, marshall islands]",U.S. Government Work,,,1057,1057,,,U.S. Hourly Precipitation Data,,https://catalog.data.gov/dataset/u-s-hourly-precipitation-data
7,,Department of Education,,,The National Student Loan Data System (NSLDS) is the national database of information about loans and grants awarded to students under Title IV of the Higher Education Act (HEA) of 1965. NSLDS provides a centralized integrated view of Title IV loans and grants during their complete life cycle from aid approval through disbursement repayment deferment delinquency and closure.,XLSX,,"[data-system, database, direct-loan, federal-family-educ..., federal-perkins-loa..., ffel, hea, higher-education-ac..., information-management, national-student-lo..., nslds, perkins, student-aid, student-grants, student-loans, title-iv, william-d-ford-dire...]",Creative Commons CCZero,,,953,953,,,National Student Loan Data System,2016-09-27,https://catalog.data.gov/dataset/national-student-loan-data-system
8,,City of Chicago,,,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset you may contact the Research & Development Division of the Chicago Police Department at PSITAdministration@ChicagoPolice.org.  Disclaimer These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore the Chicago Police Department does not guarantee (either expressed or implied) the accuracy completeness timeliness or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission or for the use of or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory offensive misleading or illegal conduct of other users links or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department"" ""Chicago Police"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not in any way authorize such use. Data are updated daily. The dataset contains more than 65000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore when downloading the file select CSV from the Export menu. Open the file in an ASCII text editor such as Wordpad to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes go to http//data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e",CSV,,"[crime, police]",No license information was provided.,,,895,895,,,Crimes - 2001 to present,2018-02-22,https://catalog.data.gov/dataset/crimes-2001-to-present-398a4
9,,Department of Housing and Urban Development,,,The Housing Affordability Data System (HADS) is a set of files derived from the 1985 and later national American Housing Survey (AHS) and the 2002 and later Metro AHS. This system categorizes housing units by affordability and households by income with respect to the Adjusted Median Income Fair Market Rent (FMR) and poverty income. It also includes housing cost burden for owner and renter households. These files have been the basis for the worst case needs tables since 2001. The data files are available for public use since they were derived from AHS public use files and the published income limits and FMRs. These dataset give the community of housing analysts the opportunity to use a consistent set of affordability measures.,CSV,,"[affordability, cost, fmr, households, housing, income, rent, renter]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,893,893,,,Housing Affordability Data System (HADS),2010-06-01,https://catalog.data.gov/dataset/housing-affordability-data-system-hads
