Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Update
"[Classification,  face recognition]",,United States Department of Defense,,,,Images,,,,,11338,,,,11338 images of 1199 individuals in different positions and at different times.,FERET (facial recognition technology),,2003
"[Classification,  face recognition]",,R. Gross et al.,,,,Images  text,,,,,41368,,,,"41,368 color images of 68 people in 13 different poses.","CMU Pose, Illumination, and Expression (PIE)",,2000
"[Classification,  face recognition]",,M. Grgic et al.,,,,Images  text,,,,,4160,,,,Color images of faces at various angles.,SCFace,,2011
"[Video classification,  face recognition]",,L. Wolf et al.,,,,Video  text,,,,,"3,425 videos",,,,"Videos of 1,595 different people gathered from YouTube. Each clip is between 48 and 6,070 frames.",YouTube Faces DB,,2011
[Facial landmark tracking.],,"Shen, Jie et al.",,,,Video  annotation file.,,,,,"114 videos, 218,000 frames.",,,,114 videos annotated for facial landmark tracking. The 68 landmark mark-up is applied to every frame.,300 videos in-the-Wild,,2015
[Facial gesture recognition],,F. Freitas et al.,,,,Text,,,,,27965,,,,Grammatical Facial Expressions from Brazilian Sign Language.,Grammatical Facial Expressions Dataset,,2014
[Face recognition],,T. Mitchell,,,,Images  Text,,,,,640,,,,Images of faces. Each person is photographed multiple times to capture different expressions.,CMU Face Images Dataset,,1999
[Face recognition],,J. Yang et al.,,,,Images,,,,,165,,,,Faces of 15 individuals in 11 different expressions.,Yale Face Database,,1997
[Facial expression analysis],,T. Kanade et al.,,,,Images  text,,,,,500+ sequences,,,,Large database of images with labels for expressions.,Cohn-Kanade AU-Coded Expression Database,,2000
[Face recognition],,H. Ng et al.,,,,Images  text,,,,,107818,,,,Images of public figures scrubbed from image searching.,FaceScrub,,2014
[Face recognition],,BioID,,,,Images  text,,,,,1521,,,,Images of faces with eye positions marked.,BioID Face Database,,2001
"[Segmentation,  classification]",,R. Bhatt.,,,,Text,,,,,245057,,,,Randomly sampled color values from face images.,Skin Segmentation Dataset,,2012
"[Face recognition,  classification]",,A Savran et al.,,,,"
Images  text
",,,,,4652,,,,3D Face image database.,Bosphorus,,2008
"[Face recognition,  classification]",,University of York,,,,"
Images  text
",,,,,5250,,,,"neutral face, 5 expressions: anger, happiness, sadness, eyes closed, eyebrows raised.",UOY 3D-Face,,2004
"[Face recognition,  classification]",,"Institute of Automation, Chinese Academy of Sciences",,,,"
Images  text
",,,,,4624,,,,"Expressions: Anger, smile, laugh, surprise, closed eyes.",CASIA,,2007
"[Face recognition,  classification]",,"Zhao, G. et al.",,,,Annotated Visible Spectrum and Near Infrared Video captures at 25 frames per second,,,,,480,,,,Expressions: Anger Disgust Fear Happiness Sadness Surprise,CASIA,,2011
"[Facial expression recognition,  classification]",,Binghamton University,,,,Images  text,,,,,2500,,,,"neutral face, and 6 expressions: anger, happiness, sadness, surprise, disgust, fear (4 levels). 3D images extracted.",BU-3DFE,,2006
"[Face recognition,  classification]",,National Institute of Standards and Technology,,,,Images  text,,,,,4007,,,,"Up to 22 samples for each subject. Expressions: anger, happiness, sadness, surprise, disgust, puffy. 3D Data.",Face Recognition Grand Challenge Dataset,,2004
"[Face recognition,  classification]",,King Juan Carlos University,,,,Images  text,,,,,549,,,,"Up to 61 samples for each subject. Expressions neutral face, smile, frontal accentuated laugh, frontal random gesture. 3D images.",Gavabdb,,2008
"[Face recognition,  classification]",,Royal Military Academy (Belgium),,,,Images  text,,,,,9971,,,,"Up to 100 subjects, expressions mostly neutral. Several poses as well.",3D-RMA,,2004
"[Gender classification,  face detection,  face recognition,  age estimation,  and glasses detection]",,"Afifi, M. et al.",,,,Images  Mat file,,,,,"42,592 (2,662 original image × 16 synthetic image)",,,,112 persons (66 males and 46 females) wear glasses under different illumination conditions.,SoF,,2017
"[Gender classification,  face detection,  face recognition,  age estimation]",,"R. Rothe, R. Timofte, L. V. Gool",,,,Images,,,,,523051,,,,IMDB and Wikipedia face images with gender and age labels.,IMDB-WIKI,,2015
[Action classification],,H. Kuehne et al.,,,,video clips,,,,,"6,766 video clips",,,,"51 action categories, each containing at least 101 clips, extracted from a range of sources.",Human Motion DataBase (HMDB51),,2011
[Action prediction],,"Patron-Perez, A. et al.",,,,video clips,,,,,"6,766 video clips",,,,"Videos from 20 different TV shows for prediction social actions: handshake, high five, hug, kiss and none.",TV Human Interaction Dataset,,2013
[Action prediction],,"Ryoo, M. S. et al.",,,,video clips,,,,,120 video clips,,,,"People acting out one of 6 actions (shake-hands, point, hug, push, kick, and punch) sometimes with multiple groups in the same video clip.",UT Interaction,,2009
[Action classification],,"Xia, L. et al.",,,,video clips with depth information,,,,,200 video clips with depth information at 15 frames per second,,,,"10 different people performing one of 6 actions (walk, sit down, stand up, pick up, carry, throw, push, pull, wave hands and clap hands) in an office setting.",UT Kinect,,2012
[Action classification],,"Yun, K. et al.",,,,video clips with depth information,,,,,Around 300 interactions,,,,"Seven participants performing one of 8 actions together (approaching, departing, pushing, kicking, punching, exchanging objects, hugging, and shaking hands) in an office setting.",SBU Interact,,2012
[Action classification],,"Ofli, F. et al.",,,,8 PhaseSpace Motion Cpature  2 Stereo Cameras  4 Quad Cameras  6 accelerometers  4 microphones,,,,,660 action samples,,,,Recordings of a single person performing 12 actions,Berkeley Multimodal Human Action Database (MHAD),,2013
"[Classification,  action detection]",,K. Soomro et al.,,,,Video  images  text,,,,,13000,,,,"Self described as ""a dataset of 101 human actions classes from videos in the wild."" Dataset is large with over 27 hours of video.",UCF 101 Dataset,,2012
"[Classification,  action detection]",,Y. Jiang et al.,,,,Video  images  text,,,,,45M frames of video,,,,Large video dataset for action classification.,THUMOS Dataset,,2013
"[Classification,  action detection]",,Heilbron et al.,,,,Video  images  text,,,,,10024,,,,Large video dataset for activity recognition and detection.,Activitynet,,2015
"[Classification,  action detection]",,"Sadoughi, N. et al.",,,,Motion-captured video  audio,,,,,74 sessions,,,,"Improvised scenarios annotated for discourse functions: contrast, confirmation/negation, question, uncertainty, suggest, giving orders, warn, inform, size description, using pronouns.",MSP-AVATAR,,2015
[Action detection],,Sheerman-Chase et al.,,,,Video,,,,,527,,,,"Video datasets for non-verbal communication activity recognition: agreement, thinking, asking and understanding.",LILiR Twotalk Corpus,,2011
[Action detection],,Stoian et al.,,,,Video,,,,,1000,,,,Video dataset for action localization and spotting,MEXAction2,,2014
[Video object segmentation],,"Pont-Tuset, J. et al.",,,,Frames annotated,,,,,10459,,,,150 video sequences containing 10459 frames with a total of 376 objects annotated.,DAVIS: Densely Annotated VIdeo Segmentation 2017,,2017
[Video object segmentation],,"Perazzi, F. et al.",,,,Frames annotated,,,,,3455,,,,50 video sequences containing 3455 frames with a total of 50 objects annotated.,DAVIS: Densely Annotated VIdeo Segmentation 2016,,2016
"[6D object pose estimation,  object detection]",,T. Hodan et al.,,,,RGB-D images  3D object models,,,,,49000,,,,30 industry-relevant objects. 39K training and 10K test images from each of three sensors. Two types of 3D models for each object.,T-LESS: An RGB-D Dataset for 6D Pose Estimation of Texture-less Objects,,2017
[Object recognition],,A. Janoch et al.,,,,labeled images  text,,,,,849,,,,849 images taken in 75 different scenes. About 50 different object classes are labeled.,Berkeley 3-D Object Dataset,,2014
[Contour detection and hierarchical image segmentation],,"University of California, Berkeley",,,,Segmented images,,,,,500,,,,"500 natural images, explicitly separated into disjoint train, validation and test subsets + benchmarking code. Based on BSDS300.",Berkeley Segmentation Data Set and Benchmarks 500 (BSDS500),,2011
[Object recognition],,T. Lin et al.,,,,Labeled images  text,,,,,2500000,,,,complex everyday scenes of common objects in their natural context.,Microsoft Common Objects in Context (COCO),,2015
"[Object recognition,  scene recognition]",,J. Xiao et al.,,,,Images  text,,,,,131067,,,,Very large scene and object recognition database.,SUN Database,,2014
"[Object recognition,  scene recognition]",,J. Deng et al.,,,,Images  text,,,,,14197122,,,,"Labeled object image database, used in the ImageNet Large Scale Visual Recognition Challenge",ImageNet,,2014
"[Classification,  Object recognition]",,"Krasin, I. et al.",,,,Images  text,,,,,9178275,,,,A Large set of images listed as having CC BY 2.0 license with image-level labels and bounding boxes spanning thousands of classes.,Open Images,,2017
"[Clustering,  classification]",,P. Guha et al.,,,,Text,,,,,129685,,,,TV commercials and news broadcasts.,TV News Channel Commercial Detection Dataset,,2015
[Classification],,University of Massachusetts,,,,Text,,,,,2310,,,,The instances were drawn randomly from a database of 7 outdoor images and hand-segmented to create a classification for every pixel.,Statlog (Image Segmentation) Dataset,,1990
"[Classification,  object recognition.]",,F. Li et al.,,,,Images,,,,,9146,,,,Pictures of objects.,Caltech 101,,2003
"[Classification,  object detection]",,G. Griffin et al.,,,,Images  Text,,,,,30607,,,,Large dataset of images for object classification.,Caltech-256,,2007
"[Classification,  object detection]",,X. Fu et al.,,,,Text,,,,,11164866,,,,SIFT features of Caltech-256 dataset.,SIFT10M Dataset,,2016
"[Classification,  object detection]",,MIT Computer Science and Artificial Intelligence Laboratory,,,,Images  text,,,,,187240,,,,Annotated pictures of scenes.,LabelMe,,2005
"[Classification,  object detection]",,Daimler AG et al.,,,,Images  text,,,,,25000,,,,"Stereo video sequences recorded in street scenes, with pixel-level annotations. Metadata also included.",Cityscapes Dataset,,2016
"[Classification,  object detection]",,M. Everingham et al.,,,,Images  text,,,,,500000,,,,Large number of images for classification tasks.,PASCAL VOC Dataset,,2010
[Classification],,A. Krizhevsky et al.,,,,Images,,,,,60000,,,,"Many small, low-resolution, images of 10 classes of objects.",CIFAR-10 Dataset,,2009
[Classification],,A. Krizhevsky et al.,,,,Images,,,,,60000,,,,"Like CIFAR-10, above, but 100 classes of objects are given.",CIFAR-100 Dataset,,2009
[Classification],,Zalando SE,,,,Images,,,,,60000,,,,A MNIST-like fashion product database,Fashion-MNIST,,2017
[Classification],,Yaroslav Bulatov,,,,Images,,,,,500000,,,,"Some publicly available fonts and extracted glyphs from them to make a dataset similar to MNIST. There are 10 classes, with letters A-J taken from different fonts.",notMNIST,,2011
[Classification],,S Houben et al.,,,,Images,,,,,900,,,,Images from vehicles of traffic signs on German roads. These signs comply with UN standards and therefore are the same as in other countries.,German Traffic Sign Detection Benchmark Dataset,,2013
"[Classification,  object detection]",,A Geiger et al.,,,,Images  text,,,,,>100 GB of data,,,,Autonomous vehicles driving through a mid-size city captured images of various areas using cameras and laser scanners.,KITTI Vision Benchmark Dataset,,2012
[Classification],,Chaladze & Kalatozishvili,,,,Images,,,,,8000,,,,Images of 5 classes of objects.,Linnaeus 5 dataset,,2017
"[Classification,  object detection,  object localization]",,M. Kragh et al.,,,,Images and 3D point clouds,,,,,>400 GB of data,,,,"Multi-modal dataset for obstacle detection in agriculture including stereo camera, thermal camera, web camera, 360-degree camera, lidar, radar, and precise localization.",FieldSAFE,,2017
[Gender recognition and biometric identification],,M Afifi,,,,Images and (.mat  .txt  and .csv) label files,,,,,"11,076 hand images",,,,"11,076 hand images (1600 x 1200 pixels) of 190 subjects, of varying ages between 18 – 75 years old, for gender recognition and biometric identification.",11K Hands,,2017
