,Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Updated
0,[Classification ],,"Data comes from an original (non-machine-learning) study:Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and Wes B Ford (1994) ""The Population Biology of Abalone (_Haliotis_ species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North Coast and Islands of Bass Strait"", Sea Fisheries Division, Technical Report No. 48 (ISSN 1034-3288) Original Owners of Database: Marine Resources DivisionMarine Research Laboratories - TaroonaDepartment of Primary Industry and Fisheries, TasmaniaGPO Box 619F, Hobart, Tasmania 7001, Australia(contact: Warwick Nash +61 02 277277, wnash '@' dpi.tas.gov.au) Donor of Database: Sam Waugh (Sam.Waugh '@' cs.utas.edu.au)Department of Computer Science, University of TasmaniaGPO Box 252C, Hobart, Tasmania 7001, Australia",,Multivariate ,"Predicting the age of abalone from physical measurements.  The age of abalone is determined by cutting the shell through the cone, staining it, and counting the number of rings through a microscope -- a boring and time-consuming task.  Other measurements, which are easier to obtain, are used to predict the age.  Further information, such as weather patterns and location (hence food availability) may be required to solve the problem. From the original data examples with missing values were removed (the majority having the predicted value missing), and the ranges of the continuous values have been scaled for use with an ANN (by dividing by 200).",,,Life,,8,4177,,566814,,Predict the age of abalone from physical measurements,Abalone,https://archive.ics.uci.edu/ml/datasets/Abalone,1995
1,[Classification ],,Donor:  Ronny Kohavi and Barry BeckerData Mining and VisualizationSilicon Graphics.e-mail: ronnyk '@' live.com for questions.,,Multivariate ,Extraction was done by Barry Becker from the 1994 Census database.  A set of reasonably clean records was extracted using the following conditions: ((AAGE>16) && (AGI>100) && (AFNLWGT>1)&& (HRSWK>0)) Prediction task is to determine whether a person makes over 50K a year.,,,Social,,14,48842,,1113065,,"Predict whether income exceeds $50K/yr based on census data.  Also known as ""Census Income"" dataset.",Adult,https://archive.ics.uci.edu/ml/datasets/Adult,1996
2,[Classification ],,Donors: David Sterling and Wray Buntine,,Multivariate ,,,,Physical,,38,798,,111260,,Steel annealing data,Annealing,https://archive.ics.uci.edu/ml/datasets/Annealing, 
3,[Recommender-Systems ],,"Creators:  Jack S. Breese, David Heckerman, Carl M. KadieMicrosoft Research, Redmond WA, 98052-6399, USAbreese '@' microsoft.com, heckerma '@' microsoft.com, carlk '@' microsoft.com  Donors: Breese:, Heckerman, & Kadie",, ,"We created the data by sampling and processing the www.microsoft.com logs. The data records the use of www.microsoft.com by 38000 anonymous, randomly-selected users. For each user, the data lists all the areas of the web site (Vroots) that user visited in a one week timeframe. Users are identified only by a sequential number, for example, User #14988, User #14989, etc. The file contains no personally identifiable information. The 294 Vroots are identified by their title (e.g. ""NetShow for PowerPoint"") and URL (e.g. ""/stream""). The data comes from one week in February, 1998.",,,Computer,,294,37711,,128102,,Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.,Anonymous Microsoft Web Data,https://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data,1998
4,[Classification ],,"Original Owners of Database: 1. H. Altay Guvenir, PhD., Bilkent University,Department of Computer Engineering and Information Science,06533 Ankara, TurkeyPhone: +90 (312) 266 4133Email: guvenir '@' cs.bilkent.edu.tr  2. Burak Acar, M.S.,Bilkent University, EE Eng. Dept. 06533 Ankara, TurkeyEmail: buraka '@' ee.bilkent.edu.tr  3. Haldun Muderrisoglu, M.D., Ph.D., Baskent University, School of MedicineAnkara, Turkey Donor:  H. Altay GuvenirBilkent University,Department of Computer Engineering and Information Science,06533 Ankara, TurkeyPhone: +90 (312) 266 4133Email: guvenir '@' cs.bilkent.edu.tr",,Multivariate ,"This database contains 279 attributes, 206 of which are linear valued and the rest are nominal.  Concerning the study of H. Altay Guvenir: ""The aim is to distinguish between the presence and absence of cardiac arrhythmia and to classify it in one of the 16 groups. Class 01 refers to 'normal' ECG classes 02 to 15 refers to different classes of arrhythmia and class 16 refers to the rest of unclassified ones. For the time being, there exists a computer program that makes such a classification. However there are differences between the cardiolog's and the programs classification. Taking the cardiolog's as a gold standard we aim to minimise this difference by means of machine learning tools."" The names and id numbers of the patients were recently removed from the database. ",,,Life,,279,452,,192719,,Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.,Arrhythmia,https://archive.ics.uci.edu/ml/datasets/Arrhythmia,1998
5,[Classification ],,"Original Owners of Database: 1. H. Altay Guvenir, PhD., Bilkent University,Department of Computer Engineering and Information Science,06533 Ankara, TurkeyPhone: +90 (312) 266 4133Email: guvenir '@' cs.bilkent.edu.tr  2. Burak Acar, M.S.,Bilkent University, EE Eng. Dept. 06533 Ankara, TurkeyEmail: buraka '@' ee.bilkent.edu.tr  3. Haldun Muderrisoglu, M.D., Ph.D., Baskent University, School of MedicineAnkara, Turkey Donor:  H. Altay GuvenirBilkent University,Department of Computer Engineering and Information Science,06533 Ankara, TurkeyPhone: +90 (312) 266 4133Email: guvenir '@' cs.bilkent.edu.tr",,Multivariate ,"This database has been artificially generated by using a first order theory which describes the structure of ten capital letters of the English alphabet and a random choice theorem prover which accounts for etherogeneity in the instances. The capital letters represented are the following: A, C, D, E, F, G, H, L, P, R. Each instance is structured and is described by a set of segments (lines) which resemble the way an automatic program would segment an image. Each instance is stored in a separate file whose format is the following: CLASS OBJNUM TYPE XX1 YY1 XX2 YY2 SIZE DIAG where CLASS is an integer number indicating the class as described below, OBJNUM is an integer identifier of a segment (starting from 0) in the instance and the remaining columns represent attribute values. For further details, contact the author.",,,Computer,,7,6000,,170310,,Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet,Artificial Characters,https://archive.ics.uci.edu/ml/datasets/Artificial+Characters,1992
6,[Classification ],,Original Owner:  Professor Jergen at Baylor College of Medicine Donor:  Bruce Porter (porter '@' fall.cs.utexas.EDU),,Multivariate ,"This database does NOT use a standard set of attributes per instance. Contact Ray Bareiss (rbareiss '@' uunet.uucp ?) for more information. Domain expert: Professor Craig Wier of the University of Texas, Austin. ",,,Life,, ,226,,76820,,Nominal audiology dataset from Baylor,Audiology (Original),https://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29,1987
7,[Classification ],,Original Version:     (a) Original Owner: Professor Jergen at Baylor College of Medicine    (b) Donor: Bruce Porter (porter '@' fall.cs.utexas.EDU) Standardized Version:     (a) Donor: Ross Quinlan,,Multivariate ,"This database is a standardized version of the original audiology database (see audiology.* in this directory).  The non-standard set of attributes have been converted to a standard set of attributes according to the rules that follow. * Each property that appears anywhere in the original .data or .test file has been represented as a separate attribute in this file. * A property such as age_gt_60 is represented as a boolean attribute with values f and t. * In most cases, a property of the form x(y) is represented as a discrete attribute x() whose possible values are the various y's; air() is an example.  There are two exceptions:** when only one value of y appears anywhere, e.g. static(normal). In this case, x_y appears as a boolean attribute.** when one case can have two or more values of x, e.g. history(..). All possible values of history are treated as separate boolean attributes. * Since boolean attributes only appear as positive conditions, each boolean attribute is assumed to be false unless noted as true.  The value of multi-value discrete attributes taken as unknown (""?"") unless a value is specified. * The original case identifications, p1 to p200 in the .data file and t1 to t26 in the .test file, have been added as a unique identifier attribute.  [Note: in the original .data file, p165 has a repeated specification of o_ar_c(normal); p166 has repeated specification of speech(normal) and conflicting values air(moderate) and air(mild).  No other problems with the original data were noted.]",,,Life,,69,226,,76266,,Standardized version of the original audiology database,Audiology (Standardized),https://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29,1992
8,[Regression ],,This dataset was taken from the StatLib library which is maintained at Carnegie Mellon University. The dataset was used in the 1983 American Statistical Association Exposition.,,Multivariate ,"This dataset is a slightly modified version of the dataset provided in the StatLib library.  In line with the use by Ross Quinlan (1993) in predicting the attribute ""mpg"", 8 of the original instances were removed because they had unknown values for the ""mpg"" attribute.  The original dataset is available in the file ""auto-mpg.data-original"". ""The data concerns city-cycle fuel consumption in miles per gallon, to be predicted in terms of 3 multivalued discrete and 5 continuous attributes."" (Quinlan, 1993)",,,Other,,8,398,,309857,,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption",Auto MPG,https://archive.ics.uci.edu/ml/datasets/Auto+MPG,1993
9,[Regression ],,"Creator/Donor:  Jeffrey C. Schlimmer (Jeffrey.Schlimmer '@' a.gp.cs.cmu.edu) Sources: 1) 1985 Model Import Car and Truck Specifications, 1985 Ward's Automotive Yearbook.2) Personal Auto Manuals, Insurance Services Office, 160 Water Street, New York, NY 10038 3) Insurance Collision Report, Insurance Institute for Highway Safety, Watergate 600, Washington, DC 20037",,Multivariate ,"This data set consists of three types of entities: (a) the specification of an auto in terms of various characteristics, (b) its assigned insurance risk rating, (c) its normalized losses in use as compared to other cars.  The second rating corresponds to the degree to which the auto is more risky than its price indicates. Cars are initially assigned a risk factor symbol associated with its price.   Then, if it is more risky (or less), this symbol is adjusted by moving it up (or down) the scale.  Actuarians call this process ""symboling"".  A value of +3 indicates that the auto is risky, -3 that it is probably pretty safe. The third factor is the relative average loss payment per insured vehicle year.  This value is normalized for all autos within a particular size classification (two-door small, station wagons, sports/speciality, etc...), and represents the average loss per car per year. Note: Several of the attributes in the database could be used as a ""class"" attribute.",,,Other,,26,205,,274233,,From 1985 Ward's Automotive Yearbook,Automobile,https://archive.ics.uci.edu/ml/datasets/Automobile,1987
