Demographic Statistics By Zip Code,data.cityofnewyork.us,http://catalog.data.gov/dataset/demographic-statistics-by-zip-code-acfc9,Demographic statistics broken down by zip code,7882,boundary;district;community;demography;demographic;statistic;youth;development;zip;code;zip code;area;lifelong learning
ZIP Code Data,IRS Research  Analysis  and Statistics (RAS) Statistics of Income(SOI),http://catalog.data.gov/dataset/zip-code-data,This study provides detailed tabulations of individual income tax return data at the state and ZIP code level.,8751,IRS;statistics of income;soi;state;zip code;income tax;form 1040
Consumer Complaint Database,Consumer Financial Protection Bureau,http://catalog.data.gov/dataset/consumer-complaint-database,These are complaints we’ve received about financial products and services.,17488,consumer;finance;complaint;bank account;bank service;credit card;credit report;debt collection;money transfer;mortgage;student loan;loan
College Scorecard,Office of Planning  Evaluation  and Policy Development,http://catalog.data.gov/dataset/college-scorecard,College Scorecards make it easier for students to search for a college that is a good fit for them. They can use the College Scorecard to find out more about a college's affordability and value so they can make more informed decisions about which college to attend.,1947,College;Scorecard;College affordability;Student tools;Programs or majors offered;Location;Enrollment size;Education;Debt;Post-college earnings;Repayment;College completion
U.S. Chronic Disease Indicators (CDI),Centers for Disease Control and Prevention,http://catalog.data.gov/dataset/u-s-chronic-disease-indicators-cdi-e50c9,<p>CDC's Division of Population Health provides cross-cutting set of 124 indicators that were developed by consensus and that allows states and territories and large metropolitan areas to uniformly define  collect  and report chronic disease data that are important to public health practice and available for states  territories and large metropolitan areas. In addition to providing access to state-specific indicator data  the CDI web site serves as a gateway to additional information and data resources.</p> ,4981,alcohol;arthritis;asthma;cancer;cardiovascular disease;cdi;chronic disease indicators;chronic kidney disease;chronic obstructive pulmonary disease;diabetes;disability;immunization;mental health;nutrition physical activity and weight status;older adults;oral health;overarching conditions;public health;reproductive health;tobacco
Fruit and Vegetable Prices,Economic Research Service  U.S. Department of Agriculture,http://catalog.data.gov/dataset/fruit-and-vegetable-prices,How much do fruits and vegetables cost? ERS estimated average prices for 153 commonly consumed fresh and processed fruits and vegetables.,3518,agricultural economics;food costs
USCIS My Case Status,Citizenship and Immigration Services  United States,http://catalog.data.gov/dataset/uscis-my-case-status,USCIS provide a way for the public who applied for U.S. citizenship to check the status of their application online. To view the status of a case  the application enter the corresponding application receipt. The 13-character application receipt number can be found on the application notices they have received from the USCIS.,2380,Acquire;Aid;Assessment;Association;Attain;Calendar;Case Step;Communication;Connection;Consultation;Correlation;Correspondence;Earn;Individual;Inspection;Interview;Investigation;Meeting;Messages;Person;Schedule;Benefit
Crimes - 2001 to present,data.cityofchicago.org,http://catalog.data.gov/dataset/crimes-2001-to-present-398a4,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present  minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims  addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset  you may contact the Research & Development Division of the Chicago Police Department at PSITAdministration@ChicagoPolice.org.  Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore  the Chicago Police Department does not guarantee (either expressed or implied) the accuracy  completeness  timeliness  or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission  or for the use of  or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory  offensive  misleading  or illegal conduct of other users  links  or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department "" ""Chicago Police "" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not  in any way  authorize such use. Data are updated daily. The dataset contains more than 65 000 records/rows of data and cannot be viewed in full in Microsoft Excel. Therefore  when downloading the file  select CSV from the Export menu. Open the file in an ASCII text editor  such as Wordpad  to view and search. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes  go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e",14485,crime;police
Housing Affordability Data System (HADS),US Department of Housing and Urban Development,http://catalog.data.gov/dataset/housing-affordability-data-system-hads,The Housing Affordability Data System (HADS) is a set of files derived from the 1985 and later national American Housing Survey (AHS) and the 2002 and later Metro AHS. This system categorizes housing units by affordability and households by income  with respect to the Adjusted Median Income  Fair Market Rent (FMR)  and poverty income. It also includes housing cost burden for owner and renter households. These files have been the basis for the worst case needs tables since 2001. The data files are available for public use  since they were derived from AHS public use files and the published income limits and FMRs. These dataset give the community of housing analysts the opportunity to use a consistent set of affordability measures.,12883,affordability;cost;fmr;households;housing;income;rent;renter
National Student Loan Data System,Office of Federal Student Aid,http://catalog.data.gov/dataset/national-student-loan-data-system,The National Student Loan Data System (NSLDS) is the national database of information about loans and grants awarded to students under Title IV of the Higher Education Act (HEA) of 1965. NSLDS provides a centralized  integrated view of Title IV loans and grants during their complete life cycle  from aid approval through disbursement  repayment  deferment  delinquency  and closure.,254,National Student Loan Data System;NSLDS;Student aid;Student loans;Student grants;Information management;Data system;FFEL;Direct Loan;Perkins;Federal Family Education Loan Program;William D. Ford Direct Loan Program;Federal Perkins Loan Program;Higher Education Act of 1965;HEA;Title IV;Database
