Name,Link,Date,Category,Downloads,Author,Summary
Daily and Sports Activities,https://archive.ics.uci.edu/ml/datasets/Daily+and+Sports+Activities,2013-07-08,Computer,106021,Billur BarshanDepartment of Electrical and Electronics Engineering Bilkent University TR-06800 Bilkent Ankara Turkey    tel: (90-312) 290-2161  fax: (90-312) 266-4192    e-mail : billur`@'ee.bilkent.edu.tr      url: www.ee.bilkent.edu.tr/~billur Kerem Altun kerem.altun '@' kemerburgaz.edu.tr kerem.altun '@' gmail.com,Brief Description of the Dataset:---------------------------------Each of the 19 activities is performed by eight subjects (4 female 4 male between the ages 20 and 30) for 5 minutes.Total signal duration is 5 minutes for each activity of each subject.The subjects are asked to perform the activities in their own style and were not restricted on how the activities should be performed. For this reason there are inter-subject variations in the speeds and amplitudes of some activities. The activities are performed at the Bilkent University Sports Hall in the Electrical and Electronics Engineering Building and in a flat outdoor area on campus. Sensor units are calibrated to acquire data at 25 Hz sampling frequency. The 5-min signals are divided into 5-sec segments so that 480(=60x8) signal segments are obtained for each activity. The 19 activities are: sitting (A1) standing (A2) lying on back and on right side (A3 and A4) ascending and descending stairs (A5 and A6) standing in an elevator still (A7) and moving around in an elevator (A8) walking in a parking lot (A9) walking on a treadmill with a speed of 4 km/h (in flat and 15 deg inclined positions) (A10 and A11)running on a treadmill with a speed of 8 km/h (A12) exercising on a stepper (A13) exercising on a cross trainer (A14) cycling on an exercise bike in horizontal and vertical positions (A15 and A16)rowing (A17) jumping (A18) and playing basketball (A19). File structure: 19 activities (a) (in the order given above) 8 subjects   (p)60 segments   (s) 5 units on torso (T) right arm (RA) left arm (LA) right leg (RL) left leg (LL) 9 sensors on each unit (xyz accelerometers xyz gyroscopes xyz magnetometers) Folders a01 a02 ... a19 contain data recorded from the 19 activities. For each activity the subfolders p1 p2 ... p8 contain data from each of the 8 subjects. In each subfolder there are 60 text files s01 s02 ... s60 one for each segment. In each text file there are 5 units x 9 sensors = 45 columns and 5 sec x 25 Hz = 125 rows.Each column contains the 125 samples of data acquired from one of the sensors of one of the units over a period of 5 sec.Each row contains data acquired from all of the 45 sensor axes at a particular sampling instant separated by commas. Columns 1-45 correspond to:   T_xacc  T_yacc  T_zacc  T_xgyro ...  T_ymag  T_zmagRA_xacc RA_yacc RA_zacc RA_xgyro ... RA_ymag RA_zmagLA_xacc LA_yacc LA_zacc LA_xgyro ... LA_ymag LA_zmagRL_xacc RL_yacc RL_zacc RL_xgyro ... RL_ymag RL_zmagLL_xacc LL_yacc LL_zacc LL_xgyro ... LL_ymag LL_zmag. Thereforecolumns  1-9  correspond to the sensors in unit 1 (T) columns 10-18 correspond to the sensors in unit 2 (RA) columns 19-27 correspond to the sensors in unit 3 (LA) columns 28-36 correspond to the sensors in unit 4 (RL) columns 37-45 correspond to the sensors in unit 5 (LL). 
Leaf,https://archive.ics.uci.edu/ml/datasets/Leaf,2014-02-24,Computer,57539,This dataset was created by Pedro F. B. Silva and AndrÃ© R. S. MarÃ§al using leaf specimens collected by Rubim Almeida da Silva at the Faculty of Science University of Porto Portugal.,For further details on this dataset and/or its attributes please read the 'ReadMe.pdf' file included and/or consult the Master's Thesis 'Development of a System for Automatic Plant Species Recognition' available at [Web Link].
Low Resolution Spectrometer,https://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer,1988-03-01,Physical,33933,Originator:  Infra-Red Astronomy Satellite Project Database Donor:  John Stutz <STUTZ '@' pluto.arc.nasa.gov> It's possible that one of John's colleagues actually provided this to UCI perhaps Mike Marshall (MARSHALL%PLU '@' io.arc.nasa.gov),The Infra-Red Astronomy Satellite (IRAS) was the first attempt to map the full sky at infra-red wavelengths.  This could not be done from ground observatories because large portions of the infra-red spectrum is absorbed by the atmosphere.  The primary observing program was the full high resolution sky mapping performed by scanning at 4 frequencies. The Low Resolution Observation (IRAS-LRS) program observed high intensity sources over two continuous spectral bands.  This database derives from a subset of the higher quality LRS observations taken between 12h and 24h right ascension.  This database contains 531 high quality spectra derived from the IRAS-LRS database.  The original data contained 100 spectral measurements in each of two overlapping bands.  Of these 44 blue band and 49 red band channels contain usable flux measurements.  Only these are included here.  The original spectral intensities values are compressed to 4-digits and each spectrum includes 5 rescaling parameters.  We have used the LRS specified algorithm to rescale these to units of spectral intensity (Janskys).  Total intensity differences have been eliminated by normalizing each spectrum to a mean value of 5000. This database was originally obtained for use in development and testing of our AutoClass system for Bayesian classification.  We have not retained any results from this development having concentrated our efforts of a 5425 element version of the same data.  Our classifications were based upon simultaneous modeling of all 93 spectral intensities. With the larger database we were able to find classes that correspond well with known spectral types associated with particular stellar types. We also found classes that match with the spectra expected of certain stellar processes under investigation by Ames astronomers.  These classes have considerably enlarged the set of stars being investigated by those researchers.   Original Data: The original fortran data file is given in spectra-2.data.  The file spectra-2.head contains information about the .data file contents and how to rescale the compressed spectral intensities. 
SPECTF Heart,https://archive.ics.uci.edu/ml/datasets/SPECTF+Heart,2001-10-01,Life,59829,Original owners:  1. Krzysztof J. Cios Lukasz A. KurganUniversity of Colorado at Denver Denver CO 80217 U.S.A.Krys.Cios '@' cudenver.edu  2. Lucy S. GoodendayMedical College of Ohio OH U.S.A. Donors:  Lukasz A.Kurgan Krzysztof J. Cios,The dataset describes diagnosing of cardiac Single Proton Emission Computed Tomography (SPECT) images. Each of the patients is classified into two categories: normal and abnormal. The database of 267 SPECT image sets (patients) was processed to extract features that summarize the original SPECT images. As a result 44 continuous feature pattern was created for each patient. The CLIP3 algorithm was used to generate classification rules from these patterns. The CLIP3 algorithm generated rules that were 77.0% accurate (as compared with cardilogists' diagnoses).  SPECTF is a good data set for testing ML algorithms; it has 267 instances that are descibed by 45 attributes. Predicted attribute: OVERALL_DIAGNOSIS (binary)  NOTE: See the SPECT heart data for binary data for the same classification task.
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,https://archive.ics.uci.edu/ml/datasets/Improved+Spiral+Test+Using+Digitized+Graphics+Tablet+for+Monitoring+Parkinson%E2%80%99s+Disease,N/A,N/A,N/A,N/A,N/A
Twenty Newsgroups,https://archive.ics.uci.edu/ml/datasets/Twenty+Newsgroups,1999-09-09,N/A,56797,Original Owner and Donor: Tom MitchellSchool of Computer Science Carnegie Mellon Universitytom.mitchell '@' cmu.edu http://www.cs.cmu.edu/~tom/,N/A
Audiology (Original),https://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29,1987-12-03,Life,70342,Original Owner:  Professor Jergen at Baylor College of Medicine Donor:  Bruce Porter (porter '@' fall.cs.utexas.EDU),This database does NOT use a standard set of attributes per instance. Contact Ray Bareiss (rbareiss '@' uunet.uucp ?) for more information. Domain expert: Professor Craig Wier of the University of Texas Austin. 
Cargo 2000 Freight Tracking and Tracing,https://archive.ics.uci.edu/ml/datasets/Cargo+2000+Freight+Tracking+and+Tracing,2016-11-03,Business,7526,Andreas Metzger (andreas.metzger '@' paluno.uni-due.de)paluno (The Ruhr Institute for Software Technology) University of Duisburg-Essen GerlingstraÃŸe 16 45127 Essen Germany,A description of the underlying Cargo 2000 standard and the processes reflected in the data set can be found at [Web Link].
Syskill and Webert Web Page Ratings,https://archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings,1998-10-20,Computer,47890,Michael PazzaniDepartment of Information and Computer ScienceUniversity of California IrvineIrvine CA 92697-3425 pazzani '@' ics.uci.edu http://www.ics.uci.edu/~pazzani,The HTML source of a web page is given. Users looked at each web page and inidated on a 3 point scale (hot medium cold) 50-100 pages per domain. However this is realistic because we want to learn user profiles from as few examples as possible so that users have an incentitive to rate pages.
Occupancy Detection ,https://archive.ics.uci.edu/ml/datasets/Occupancy+Detection+,2016-02-29,Computer,56232,Luis Candanedo luismiguel.candanedoibarra '@' umons.ac.be UMONS.,Three data sets are submitted for training and testing. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute.For the journal publication the processing R scripts can be found in:[Web Link] 
